modality	feature_type	atlas/metric	task	balanced_data	accuracy	auc	balanced_accuracy	npv	ppv	sensitivity	specificity	
T1	voxel_based	GM	AD_vs_CN	NA	0.8781052631578947	0.9432	0.8783333333333334	0.8711622932622932	0.9022555333555334	0.8572000000000001	0.8994666666666667	
T1	ROI_based	AAL2	AD_vs_CN	NA	0.8610526315789473	0.9455555555555557	0.8610444444444445	0.8521019647019648	0.8908359307359308	0.8356888888888888	0.8864000000000001	
DWI	voxel_based	GM_FA	AD_vs_CN	NA	0.7033684210526315	0.7747111111111111	0.7037777777777778	0.6919854978354979	0.7411254745254745	0.6536888888888889	0.7538666666666668	
DWI	voxel_based	GM_MD	AD_vs_CN	NA	0.768	0.8661555555555557	0.7680666666666666	0.7417237040737041	0.8290488844488845	0.6921333333333334	0.844	
DWI	voxel_based	WM_FA	AD_vs_CN	NA	0.7326315789473684	0.7865777777777778	0.7329111111111111	0.7456443722943723	0.7423769785769786	0.7389333333333333	0.7268888888888888	
DWI	voxel_based	WM_MD	AD_vs_CN	NA	0.7128421052631579	0.7454	0.7128888888888888	0.6989971250971251	0.7444491601965286	0.6699555555555555	0.7558222222222222	
DWI	voxel_based	WM_GM_FA	AD_vs_CN	NA	0.7092631578947369	0.7946888888888889	0.7094000000000001	0.7136932844932845	0.7323425241425241	0.6874222222222223	0.7313777777777777	
DWI	voxel_based	WM_GM_MD	AD_vs_CN	NA	0.7627368421052632	0.8534444444444446	0.7627111111111111	0.7381167110667111	0.8209010323010324	0.69	0.8354222222222222	
DWI	ROI_based	JHUDTI81_FA	AD_vs_CN	NA	0.7042105263157895	0.7790888888888889	0.7043777777777778	0.711523352670721	0.7170519571931336	0.6928888888888889	0.7158666666666667	
DWI	ROI_based	JHUDTI81_MD	AD_vs_CN	NA	0.4736842105263158	0.20133333333333334	0.5	0.2463157894736842	0.22736842105263155	0.48	0.52	
DWI	ROI_based	HUTracts25_FA	AD_vs_CN	NA	0.6578947368421052	0.6698666666666666	0.6593777777777778	0.6631140662227349	0.65297663476874	0.6518666666666667	0.6668888888888889	
DWI	ROI_based	HUTracts25_MD	AD_vs_CN	NA	0.4743157894736843	0.20057777777777777	0.5	0.24063157894736845	0.23368421052631577	0.492	0.508	
T1	voxel_based	GM	CN_vs_MCI	NA	0.6262068965517242	0.6155333333333334	0.5781777777777778	0.41106927760743817	0.7429747126377857	0.7048	0.45155555555555554	
T1	ROI_based	AAL2	CN_vs_MCI	NA	0.563448275862069	0.5561777777777778	0.5936666666666668	0.3819378857741348	0.7760702756876826	0.514	0.6733333333333332	
DWI	voxel_based	GM_FA	CN_vs_MCI	NA	0.6086896551724137	0.5847888888888889	0.5745222222222223	0.38944577028750405	0.7518945853223812	0.6645999999999999	0.48444444444444446	
DWI	voxel_based	GM_MD	CN_vs_MCI	NA	0.5888275862068965	0.5282	0.6018000000000001	0.4040974120000637	0.7803714824518297	0.5675999999999999	0.636	
DWI	voxel_based	WM_FA	CN_vs_MCI	NA	0.5915862068965517	0.5162666666666667	0.5727555555555556	0.37949233528769133	0.7520026641977994	0.6224	0.5231111111111111	
DWI	voxel_based	WM_MD	CN_vs_MCI	NA	0.5452413793103448	0.47436666666666666	0.5908555555555556	0.378977637669012	0.7973030710141311	0.4706	0.7111111111111111	
DWI	voxel_based	WM_GM_FA	CN_vs_MCI	NA	0.6147586206896551	0.5770444444444445	0.5799000000000001	0.40413859419024317	0.7540536138073102	0.6718000000000001	0.48799999999999993	
DWI	voxel_based	WM_GM_MD	CN_vs_MCI	NA	0.5783448275862068	0.5391444444444445	0.5966444444444444	0.39195804930875794	0.7731817260553996	0.5484	0.644888888888889	
DWI	ROI_based	JHUDTI81_FA	CN_vs_MCI	NA	0.5802758620689655	0.4479333333333334	0.5668777777777777	0.33186510454138896	0.7040210650410201	0.6022000000000001	0.5315555555555556	
DWI	ROI_based	JHUDTI81_MD	CN_vs_MCI	NA	0.6896551724137933	0.31039999999999995	0.5	0.0	0.6896551724137933	1.0	0.0	
DWI	ROI_based	HUTracts25_FA	CN_vs_MCI	NA	0.5561379310344828	0.42131111111111114	0.5463222222222222	0.3398175639833544	0.6878287356089473	0.5722	0.5204444444444444	
DWI	ROI_based	HUTracts25_MD	CN_vs_MCI	NA	0.6896551724137933	0.38735555555555556	0.5	0.0	0.6896551724137933	1.0	0.0	
T1	voxel_based	GM	CN_vs_pMCI	NA	0.7745714285714286	0.8423111111111112	0.7295555555555554	0.7600730158730158	0.7979037407037408	0.8871111111111112	0.572	
T1	ROI_based	AAL2	CN_vs_pMCI	NA	0.7197142857142858	0.7348444444444444	0.6932888888888888	0.6192	0.7938454656454657	0.7857777777777778	0.6008000000000001	
DWI	voxel_based	GM_FA	CN_vs_pMCI	NA	0.6577142857142858	0.5805333333333333	0.5928	0.5291142857142856	0.7034186924186925	0.82	0.36560000000000004	
DWI	voxel_based	GM_MD	CN_vs_pMCI	NA	0.6517142857142858	0.6295999999999999	0.6071555555555556	0.5344	0.7185374847374847	0.7631111111111111	0.45120000000000005	
DWI	voxel_based	WM_FA	CN_vs_pMCI	NA	0.5771428571428571	0.4305333333333333	0.5219555555555555	0.3712672438672439	0.659523543123543	0.715111111111111	0.32880000000000004	
DWI	voxel_based	WM_MD	CN_vs_pMCI	NA	0.622	0.3710222222222222	0.5285777777777778	0.3046253968253968	0.6619948384948385	0.8555555555555556	0.20160000000000003	
DWI	voxel_based	WM_GM_FA	CN_vs_pMCI	NA	0.656	0.6130222222222222	0.5907555555555556	0.5337238095238095	0.7023005883005883	0.8191111111111111	0.3624	
DWI	voxel_based	WM_GM_MD	CN_vs_pMCI	NA	0.6505714285714286	0.6116	0.6030666666666668	0.5082666666666666	0.7141923076923076	0.7693333333333334	0.4368000000000001	
DWI	ROI_based	JHUDTI81_FA	CN_vs_pMCI	NA	0.552	0.4604888888888889	0.5077333333333334	0.28397352647352647	0.6491535575535575	0.6626666666666666	0.35280000000000006	
DWI	ROI_based	JHUDTI81_MD	CN_vs_pMCI	NA	0.6314285714285715	0.3594222222222222	0.5	0.014285714285714285	0.6171428571428572	0.96	0.04	
DWI	ROI_based	HUTracts25_FA	CN_vs_pMCI	NA	0.5511428571428573	0.3912888888888889	0.5401333333333334	0.3789589521589521	0.6902576534576536	0.5786666666666667	0.5016	
DWI	ROI_based	HUTracts25_MD	CN_vs_pMCI	NA	0.6017142857142858	0.33026666666666665	0.5	0.05142857142857143	0.5502857142857145	0.856	0.144	
T1	voxel_based	GM	sMCI_vs_pMCI	NA	0.70175	0.7314545454545455	0.6356	0.7746925740925742	0.5303126984126985	0.45920000000000005	0.812	
T1	ROI_based	AAL2	sMCI_vs_pMCI	NA	0.64425	0.6816	0.6444000000000001	0.8167680708180708	0.4541373182373182	0.6447999999999999	0.644	
DWI	voxel_based	GM_FA	sMCI_vs_pMCI	NA	0.56225	0.5078181818181818	0.4789454545454546	0.6045750638250638	0.25751616161616164	0.25680000000000003	0.701090909090909	
DWI	voxel_based	GM_MD	sMCI_vs_pMCI	NA	0.55025	0.4229090909090909	0.5103636363636364	0.6191838161838161	0.32942124542124546	0.404	0.6167272727272728	
DWI	voxel_based	WM_FA	sMCI_vs_pMCI	NA	0.443	0.6209454545454546	0.4314909090909091	0.4359965645465645	0.18839168054168057	0.40079999999999993	0.46218181818181825	
DWI	voxel_based	WM_MD	sMCI_vs_pMCI	NA	0.41325	0.4728	0.4938545454545455	0.22867207237207238	0.23544837939837943	0.7088	0.2789090909090909	
DWI	voxel_based	WM_GM_FA	sMCI_vs_pMCI	NA	0.55775	0.5413090909090909	0.4676	0.611699111999112	0.23090180375180375	0.2272	0.7080000000000001	
DWI	voxel_based	WM_GM_MD	sMCI_vs_pMCI	NA	0.53025	0.43432727272727273	0.5119636363636364	0.5884980408480408	0.32481627816627817	0.46320000000000006	0.5607272727272727	
DWI	ROI_based	JHUDTI81_FA	sMCI_vs_pMCI	NA	0.4475	0.5578181818181819	0.4674909090909091	0.47488558108558104	0.25796931401931394	0.5208	0.4141818181818182	
DWI	ROI_based	JHUDTI81_MD	sMCI_vs_pMCI	NA	0.3275	0.5741090909090909	0.5	0.0275	0.3	0.96	0.04	
DWI	ROI_based	HUTracts25_FA	sMCI_vs_pMCI	NA	0.43475	0.5591636363636364	0.46585454545454547	0.45733749028749027	0.24871434121434122	0.5488000000000001	0.38290909090909087	
DWI	ROI_based	HUTracts25_MD	sMCI_vs_pMCI	NA	0.3455	0.41090909090909095	0.5	0.0605	0.285	0.912	0.088	
DWI	voxel_based	GM_FA	CN_vs_MCI	random downsampling	0.592	0.576320987654321	0.592	0.5849719982631747	0.6168183039183038	0.5146666666666667	0.6693333333333332	
DWI	voxel_based	GM_MD	CN_vs_MCI	random downsampling	0.5686666666666668	0.4582962962962963	0.5686666666666668	0.5607972893119952	0.6043247863247864	0.44355555555555554	0.6937777777777778	
DWI	voxel_based	WM_FA	CN_vs_MCI	random downsampling	0.5637777777777778	0.48614814814814816	0.5637777777777778	0.5615832017655545	0.5810070318570318	0.516888888888889	0.6106666666666667	
DWI	voxel_based	WM_MD	CN_vs_MCI	random downsampling	0.5515555555555557	0.38851851851851854	0.5515555555555557	0.5367962289344642	0.5998835719835721	0.30666666666666664	0.7964444444444445	
DWI	voxel_based	WM_GM_FA	CN_vs_MCI	random downsampling	.5724444444444444	0.5407654320987655	0.5724444444444444	0.5657952749864514	0.5943888999889	0.5048888888888888	0.64	
DWI	voxel_based	WM_GM_MD	CN_vs_MCI	random downsampling	0.5726666666666667	0.4704691358024692	0.5726666666666667	0.5625942733736852	0.6178275058275059	0.4444444444444445	0.7008888888888889	
DWI	ROI_based	JHUDTI81_FA	CN_vs_MCI	random downsampling	0.574	0.4695061728395062	0.574	0.571677925669102	0.5917943112443113	0.5293333333333333	0.6186666666666667	
DWI	ROI_based	JHUDTI81_MD	CN_vs_MCI	random downsampling	0.5848888888888889	0.34358024691358025	0.5848888888888889	0.5586645080409787	0.7044883116883117	0.2906666666666667	0.8791111111111111	
DWI	ROI_based	HUTracts25_FA	CN_vs_MCI	random downsampling	0.5448888888888889	0.4436296296296296	0.5448888888888889	0.5596718503718503	0.5423124597624598	0.6128888888888889	0.47688888888888886	
DWI	ROI_based	HUTracts25_MD	CN_vs_MCI	random downsampling	0.5888888888888889	0.4129629629629629	0.5888888888888889	0.5779836607836607	0.63250106005106	0.44044444444444436	0.7373333333333333	
DWI	voxel_based	GM_FA	CN_vs_pMCI	random downsampling	0.6008	0.5596800000000001	0.6008	0.6444873015873015	0.5935904761904762	0.6704000000000001	0.5312	
DWI	voxel_based	GM_MD	CN_vs_pMCI	random downsampling	0.6207999999999999	0.42328000000000005	0.6208000000000001	0.6671523809523809	0.6053825396825396	0.744	0.49760000000000004	
DWI	voxel_based	WM_FA	CN_vs_pMCI	random downsampling	0.5492	0.46488	0.5492	0.5560380952380951	0.5480619047619048	0.6088	0.48960000000000004	0.9667368421052631
DWI	voxel_based	WM_MD	CN_vs_pMCI	random downsampling	0.6123999999999999	0.332	0.6124	0.6925619047619048	0.588784126984127	0.7944	0.4304000000000001	0.6987368421052631
DWI	voxel_based	WM_GM_FA	CN_vs_pMCI	random downsampling	0.6108	0.5548	0.6108000000000001	0.6435857142857144	0.6111253968253968	0.6615999999999999	0.56	
DWI	voxel_based	WM_GM_MD	CN_vs_pMCI	random downsampling	0.62	0.48688	0.62	0.6758761904761904	0.6061936507936507	0.7432000000000001	0.4968	
DWI	ROI_based	JHUDTI81_FA	CN_vs_pMCI	random downsampling	0.5296	0.45448	0.5296	0.5209793650793652	0.5380349206349205	0.5464000000000001	0.5127999999999999	
DWI	ROI_based	JHUDTI81_MD	CN_vs_pMCI	random downsampling	0.552	0.39136000000000004	0.552	0.4923333333333333	0.532984126984127	0.9415999999999999	0.1624	
DWI	ROI_based	HUTracts25_FA	CN_vs_pMCI	random downsampling	0.5732	0.40288	0.5732	0.5782857142857142	0.593547619047619	0.5304	0.616	
DWI	ROI_based	HUTracts25_MD	CN_vs_pMCI	random downsampling	0.6416000000000001	0.36616000000000004	0.6416000000000001	0.6745111111111112	0.6422095238095237	0.7432000000000001	0.54	
DWI	voxel_based	GM_FA	sMCI_vs_pMCI	random downsampling	0.4736	0.466	0.4736	0.4620730158730159	0.4692476190476191	0.45439999999999997	0.49279999999999996	
DWI	voxel_based	GM_MD	sMCI_vs_pMCI	random downsampling	0.5104	0.47391999999999995	0.5104	0.4987555555555555	0.5237873015873015	0.41120000000000007	0.6095999999999999	
DWI	voxel_based	WM_FA	sMCI_vs_pMCI	random downsampling	0.43639999999999995	0.5408	0.4364	0.4223063492063492	0.43147301587301584	0.4328	0.44	
DWI	voxel_based	WM_MD	sMCI_vs_pMCI	random downsampling	0.48479999999999995	0.5026400000000001	0.48479999999999995	0.4621920634920635	0.47035873015873014	0.3856	0.584	
DWI	voxel_based	WM_GM_FA	sMCI_vs_pMCI	random downsampling	0.444	0.5053599999999999	0.444	0.43041746031746037	0.4325047619047619	0.41840000000000005	0.4696	
DWI	voxel_based	WM_GM_MD	sMCI_vs_pMCI	random downsampling	0.5111999999999999	0.47368	0.5112000000000001	0.4936555555555555	0.5329015873015872	0.4192000000000001	0.6032000000000001	
DWI	ROI_based	JHUDTI81_FA	sMCI_vs_pMCI	random downsampling	0.47479999999999994	0.5464	0.47479999999999994	0.4594396825396826	0.4760349206349206	0.4128	0.5367999999999999	
DWI	ROI_based	JHUDTI81_MD	sMCI_vs_pMCI	random downsampling	0.4784	0.52328	0.47840000000000005	0.4587555555555556	0.4263825396825397	0.5136000000000001	0.44320000000000004	
DWI	ROI_based	HUTracts25_FA	sMCI_vs_pMCI	random downsampling	0.484	0.5299200000000001	0.484	0.47759682539682535	0.4779857142857143	0.4680000000000001	0.5000000000000001	
DWI	ROI_based	HUTracts25_MD	sMCI_vs_pMCI	random downsampling	0.5336000000000001	0.46168	0.5336000000000001	0.5344968253968254	0.5278380952380952	0.584	0.4832	